title,authors,Annee,Pays,Journal,Quartile,Citations,Impact_Score,abstract_
Blockchain's role in supporting circular supply chains in the built environment,"Qian Li;
Yingli Wang",2021,France,IEEE Xplore,Q1,1,1.54,N/A
InterTrust: Towards an Efficient Blockchain Interoperability Architecture with Trusted Services,"Gang Wang;
Mark Nixon",2021,Canada,IEEE Xplore,Q1,81,9.1,N/A
Blockchain’s Future Role in Cybersecurity. Analysis of Defensive and Offensive Potential Leveraging Blockchain-Based Platforms,"Artur Rot;
Bartosz Blaicke",2019,UK,IEEE Xplore,Q1,28,2.63,N/A
A consortium blockchain paradigm on hyperledger-based peer-to-peer lending system,"Xueyun Zeng;
Ninghua Hao;
Junchen Zheng;
Xuening Xu",2019,France,IEEE Xplore,Q1,39,7.9,N/A
Blockchain Based Log System,"Jiansen Huang;
Hui Li;
Jiyang Zhang",2018,Canada,IEEE Xplore,Q2,9,9.24,N/A
Proposed Architecture of Integrate Blockchain With VAT System in Oman,"Myrna Mohamad;
Khoula Al Harthy",2022,UK,IEEE Xplore,Q1,111,7.97,N/A
Scope and Challenges of IoT and Blockchain Integration,"Sara Shree;
Monika Sharma",2023,France,IEEE Xplore,Q1,73,7.3,N/A
IEEE Standard for Data Format for Blockchain Systems,Unknown,2020,India,IEEE Xplore,Q3,61,5.58,N/A
Blockchain Vulnerabilities and Recent Security Challenges: A Review Paper,"Aysha AlFaw;
Wael Elmedany;
Mhd Saeed Sharif",2022,UK,IEEE Xplore,Q1,30,1.79,N/A
IEEE Draft Guide for Blockchain in Power and Energy Systems,Unknown,2025,Brazil,IEEE Xplore,Q1,54,3.03,N/A
TrustChain: Trust Management in Blockchain and IoT Supported Supply Chains,"Sidra Malik;
Volkan Dedeoglu;
Salil S. Kanhere;
Raja Jurdak",2019,India,IEEE Xplore,Q1,87,8.75,N/A
A Privacy Protection Scheme for Permissioned Blockchain Based on Trusted Execution Environment,"Ronghao Zhou;
Zijing Lin",2022,Brazil,IEEE Xplore,Q3,19,9.55,N/A
Adoptation of Blockchain of Things(BCOT): Oppurtunities & Challenges,"Abhay Kumar Yadav;
Virendra Prasad Vishwakarma",2022,UK,IEEE Xplore,Q1,58,7.34,N/A
Hiding Data into Blockchain-based Digital Video for Security Protection,"Hongguo Zhao;
Yunxia Liu;
Yonghao Wang;
Yu Huang",2020,India,IEEE Xplore,Q2,32,1.62,N/A
Voting Based CrowdFunding Using Ethereum Blockchain,"Siddhesh Bajad;
Sonali Patil;
Kartikesh Ambavade;
Rohini Pise",2023,Germany,IEEE Xplore,Q1,104,6.95,N/A
A Medical Data Sharing Scheme Based on Blockchain Attribute-Based Searchable Encryption,"Yan Li;
Guofeng Zhang;
Bin Feng;
Shihao Yang",2024,Canada,IEEE Xplore,Q4,43,8.66,N/A
Decentralized and Collaborative AI on Blockchain,"Justin D. Harris;
Bo Waggoner",2019,France,IEEE Xplore,Q3,43,6.17,N/A
BlockV: A Blockchain Enabled Peer-Peer Ride Sharing Service,"Panchalika Pal;
Sushmita Ruj",2019,India,IEEE Xplore,Q1,113,6.65,N/A
Taking Attacks to the Next Level: A Framework for Front-Running Attacks on Blockchain Systems,"Zihan Wang;
Yusen Wang;
Chentian Yuan;
Na Ruan;
Jie Li;
Jiong Lou",2025,Canada,IEEE Xplore,Q1,103,6.07,N/A
Performance Evaluation of different Hyperledger Sawtooth transaction processors for Blockchain log storage with varying workloads,"Konstantinos Moschou;
Anastasia Theodouli;
Sofia Terzi;
Konstantinos Votis;
Dimitrios Tzovaras;
Dimitrios Karamitros;
Sotiris Diamantopoulos",2020,China,IEEE Xplore,Q1,33,4.78,N/A
Proteus: A Scalable BFT Consensus Protocol for Blockchains,"Mohammad M. Jalalzai;
Costas Busch;
Golden G. Richard",2019,Germany,IEEE Xplore,Q1,48,8.04,N/A
Supplier Selection in Healthcare using Blockchain,"Twinkle Kumari;
Manisha Singh;
Gaurav Baranwal;
Anil Kumar Tripathi",2022,Germany,IEEE Xplore,Q1,80,7.3,N/A
Leveraging Blockchain and RFID/NFC Technology for Secure and Traceable Logistics for Documents With Digital Twin,"Terry C. Y. Ng;
Dennis Y. W. Liu;
Alven C. Y. Leung",2024,Canada,IEEE Xplore,Q3,53,2.69,N/A
Review of Most Popular Open-Source Platforms for Developing Blockchains,"Collin Connors;
Dilip Sarkar",2022,Germany,IEEE Xplore,Q2,28,5.73,N/A
Achieving Load Balancing in Blockchain Sharding Based on Multi-Objective Optimization,"Yong Wang;
Youquan Xian;
Xueying Zeng;
Dongcheng Li;
Zhengdong Hu;
Peng Liu",2025,India,IEEE Xplore,Q2,35,3.27,N/A
Study of Traceability System of Renewable Energy Power Trading Based on Blockchain Technology,"Qing Zhang;
Tao Xu;
Dong Wang;
Zijian Liu;
Chuanyuan Cheng;
Shangzhuo Zheng;
Gangpeng Wang",2022,China,IEEE Xplore,Q4,101,6.75,N/A
Blockchain System Prototype for the Tasks of Metallurgical and Machine-Building Enterprises,Daria A. Snegireva,2021,USA,IEEE Xplore,Q2,73,5.28,N/A
Blockchain: The new era of Technology,"Riya Sapra;
Parneeta Dhaliwal",2018,Brazil,IEEE Xplore,Q1,23,7.79,N/A
Enhancing the Security of E-Healthcare Transactions Using Hyperledger Fabric Modular Blockchain Framework,"Munish Katoch;
Kavita Devi;
Anuj Sharma;
Prikshat Kumar Angra;
Pritpal Singh;
Ashwani Kumar",2023,Canada,IEEE Xplore,Q2,199,9.99,N/A
Research on analysis and design of cloud ERP based on blockchain technology,"Xaysomphone Thipphonexai;
Yan Guanghui",2020,India,IEEE Xplore,Q2,29,2.92,N/A
Challenges of Blockchain adoption in financial services in China's Greater Bay Area,"Xiongfei Zhao;
Yain-Whar Si",2023,USA,IEEE Xplore,Q2,3,0.57,N/A
IEEE Approved Draft Guide for Blockchain in Power and Energy Systems,Unknown,2025,Canada,IEEE Xplore,Q2,124,7.31,N/A
A Blockchain Proxy for Lightweight IoT Devices,"Gero Dittmann;
Jens Jelitto",2019,USA,IEEE Xplore,Q1,71,5.47,N/A
Risk Analysis Methodology to Blockchain-based Solutions,"Sergio Luis Ribeiro;
Ingrid Alves de Paiva Barbosa",2020,UK,IEEE Xplore,Q2,92,6.16,N/A
Implementation of Blockchain based Electronic Health Record System using Java Eclipse and MongoDB,"Mehar Nasreen;
Sunil Kumar Singh",2022,France,IEEE Xplore,Q1,68,8.61,N/A
Blockchain Technology and Its application Research in Supply Chain Financial Risk Control,Hongjun Cui,2021,France,IEEE Xplore,Q4,95,7.94,N/A
An Information Sharing Prototype System of Ship Integrated Logistics Support Based on Blockchain,"Qi Wang;
Jun Yin;
Ping Qian;
Shilun Ge",2022,UK,IEEE Xplore,Q2,177,8.87,N/A
On Addressing Governance Challenges in Blockchain Networks,"Sokratis Vavilis;
Harris Niavis;
Lucía Recolons García-Mauriño",2024,Canada,IEEE Xplore,Q1,33,3.0,N/A
Securing Medical Records Using Private Blockchain Technology,"Basil Alothman;
Mariam Alenezi;
Danah Alhamdan;
Mariam Almutairat;
Zahraa Almousa;
Chibli Joumaa;
Murad Khan",2023,France,IEEE Xplore,Q1,16,2.41,N/A
Lockless Transaction Isolation in Hyperledger Fabric,"Hagar Meir;
Artem Barger;
Yacov Manevich;
Yoav Tock",2019,Canada,IEEE Xplore,Q3,22,1.25,N/A
A Blockchain-based Testing Approach for Collaborative Software Development,"Stephen S. Yau;
Jinal S. Patel",2020,Germany,IEEE Xplore,Q1,7,0.65,N/A
Implementation of Digital Log-book System for Lifts and Escalators Based on Blockchain Technology,"Wai-Keung Yeung;
M.K. Tong Stephen;
Y.K. Wong Jerry;
Mentor Cheung;
K.Y. Cheung Ashley;
Graham Lui;
K.K. Cheng Kevin",2022,UK,IEEE Xplore,Q3,3,3.83,N/A
Decentralized and Self-Sovereign Identity in the Era of Blockchain: A Survey,"Yirui Bai;
Hong Lei;
Suozai Li;
Haoyu Gao;
Jun Li;
Leixiao Li",2022,China,IEEE Xplore,Q2,47,9.46,N/A
Blockchain Interoperability through Bridges: A Token Transfer Perspective,"Luca Olivieri;
Aradhita Mukherjee;
Nabendu Chaki;
Agostino Cortesi",2024,India,IEEE Xplore,Q1,68,6.81,N/A
Implementation of Blockchain in Financial Sector to Improve Scalability,"Sheetal Sinha;
Kumkum;
Ruchika Bathla",2019,China,IEEE Xplore,Q2,49,8.33,N/A
HiCoCS: High Concurrency Cross-Sharding on Permissioned Blockchains,"Lingxiao Yang;
Xuewen Dong;
Zhiguo Wan;
Di Lu;
Yushu Zhang;
Yulong Shen",2025,Germany,IEEE Xplore,Q1,71,3.95,N/A
The Efficient use of Blockchain for Reducing Frauds in Parental Property Distribution,"Sandeep Rathor;
Ankit Agrawal;
D. P. Yadav",2020,India,IEEE Xplore,Q3,76,3.82,N/A
Efficient Quering Blockchain Applications,"Noha Ahmed Thabet;
Nashwa Abdelbaki",2021,China,IEEE Xplore,Q1,5,5.35,N/A
A Survey on Decentralized Application based On Blockchain Platform,"Rajkumar Banoth;
Maharshi B. Dave",2022,China,IEEE Xplore,Q1,30,3.85,N/A
HealthGuard: Blockchain-Powered Healthcare Data Security,"Suja A. Alex;
Euclides Lourenço Chuma;
Gabriel Caumo Vaz;
Gabriel Gomes de Oliveira",2023,Canada,IEEE Xplore,Q2,49,2.63,N/A
HAC-Bchain: A Secure and Scalable Blockchain-Shard Based E-Voting System,"Sohel Ahmed Joni;
Rabiul Rahat;
Nishat Tasnin;
Partho Ghose;
Loveleen Gaur",2023,USA,IEEE Xplore,Q2,13,4.42,N/A
Blockchain-based Model for Trading Smart Contracts for Shared Energy Generation in Brazil,"Paula Zenni Lodetti;
Beatriz Batista Cardoso;
O. B. Luis Gustavo Ulhoa;
Luciano Benvenuti Roncalio;
Lucas de Paula A. Pinheiro;
Orlando Da Silva Santos;
Marcos A. Izumida M;
Diogo Vinícius João",2022,Germany,IEEE Xplore,Q3,8,0.79,N/A
Design Requirements for Secured and Cost-Efficient Blockchain-Based Data Exchange Frameworks in Healthcare,"Shahrin Chowdhury;
Anca Delia Jurcut",2023,France,IEEE Xplore,Q1,144,7.24,N/A
Drawing the Boundaries Between Blockchain and Blockchain-Like Systems: A Comprehensive Survey on Distributed Ledger Technologies,"Badr Bellaj;
Aafaf Ouaddah;
Emmanuel Bertin;
Noel Crespi;
Abdellatif Mezrioui",2024,Brazil,IEEE Xplore,Q1,49,8.29,N/A
Unlocking the Potential of Interconnected Blockchains: A Comprehensive Study of Cosmos Blockchain Interoperability,"Mritunjay Shall Peelam;
Brijesh Kumar Chaurasia;
Aditya Kumar Sharma;
Vinay Chamola;
Biplab Sikdar",2024,USA,IEEE Xplore,Q1,17,2.93,N/A
Building Ethereum Dapps: Decentralized applications on the Ethereum blockchain,Roberto Infante,2019,India,IEEE Xplore,Q1,11,0.77,N/A
BA-CPABE : An auditable Ciphertext-Policy Attribute Based Encryption Based on Blockchain,"Jingyi Wang;
Cheng Huang;
Yiming Ma;
Huiyuan Wang;
Chao Peng;
HouHui Yu",2022,France,IEEE Xplore,Q3,5,0.63,N/A
Study of Blockchain Forensics and Analytics tools,"Dinesh P Srivasthav;
Lakshmi Padmaja Maddali;
R Vigneswaran",2021,China,IEEE Xplore,Q2,4,1.03,N/A
Prioritised Sharding: A Novel Approach to Enhance Blockchain Scalability,"Fahad Rahman;
Chafiq Titouna;
Farid Nait-Abdesselam",2023,Germany,IEEE Xplore,Q3,29,4.95,N/A
Blockchain-Based Decentralized Platform for Electronic Health Records Management,"Siddhesh Ballal;
Yash Chandre;
Rohini Pise;
Babita Sonare;
Sonali Patil",2023,Germany,IEEE Xplore,Q2,25,1.58,N/A
DGChain: Data control version for trustworthy reproducibility with Blockchain,Jose Armando Hernandez,2024,India,IEEE Xplore,Q1,112,6.62,N/A
Research on Blockchain Reshaping Integrated Enterprise Financial Information System in Digital Era,"Hui Wu;
Yu Wang",2021,Germany,IEEE Xplore,Q3,18,9.2,N/A
Blockchain Solutions for Nursing: A New Paradigm in Healthcare Security and Data Management,"Ranjit Kumar;
Ranjana Chavan;
Vishal S. Shirsath;
Suyog Sanjay Gharat;
Kartik Sudhir Patil",2024,UK,IEEE Xplore,Q3,83,4.18,N/A
Yugala: Blockchain Based Encrypted Cloud Storage for IoT Data,"Sarada Prasad Gochhayat;
Eranga Bandara;
Sachin Shetty;
Peter Foytik",2019,Brazil,IEEE Xplore,Q1,40,5.84,N/A
A Fully Decentralized Time-Lock Encryption System on Blockchain,"Wei-Jr Lai;
Chih-Wen Hsueh;
Ja-Ling Wu",2019,India,IEEE Xplore,Q3,63,4.89,N/A
SSP: Self-Sovereign Privacy for Internet of Things Using Blockchain and MPC,"Tiffany Hyun-Jin Kim;
Joshua Lampkins",2019,France,IEEE Xplore,Q1,18,3.68,N/A
OpBench: A CPU Performance Benchmark for Ethereum Smart Contract Operation Code,"Amjad Aldweesh;
Maher Alharby;
Maryam Mehrnezhad;
Aad Van Moorsel",2019,China,IEEE Xplore,Q1,5,1.31,N/A
Remote Configuration of Integrated Circuit Features and Firmware Management via Smart Contract,"Md Nazmul Islam;
Sandip Kundu",2019,Canada,IEEE Xplore,Q3,0,0.56,N/A
Interoperable Blockchain Solution For Digital Identity Management,"Sudeep Choudhari;
Suman Kumar Das;
Shubham Parasher",2021,Germany,IEEE Xplore,Q2,26,5.22,N/A
IEEE Standard for Reference Architecture of Blockchain Fusion Server,Unknown,2025,Brazil,IEEE Xplore,Q1,60,8.64,N/A
Blockchain-Based Privacy-Preserving and Accountable Mobile Edge Outsourcing Computing Framework for the Metaverse,"Chunpei Li;
Chen Liu;
Peng Liu;
Xianxian Li;
Wangjie Qiu;
Lei Lei;
Yanli Jin",2025,Germany,IEEE Xplore,Q2,9,4.54,N/A
Economic Analysis of Blockchain Technology on Digital Platform Market,"Hyojung Lee;
Kiwoon Sung;
Kyusang Lee;
Jaeseok Lee;
Seungjai Min",2018,Brazil,IEEE Xplore,Q1,45,9.06,N/A
Blockchain-Based Zero Knowledge Proof Platform With Secure Common Reference String,"Moonhyeon Chung;
Chanik Park",2024,USA,IEEE Xplore,Q3,124,9.58,N/A
IEEE Standard for the Reference Architecture of Blockchain as a Service,Unknown,2025,USA,IEEE Xplore,Q3,67,9.65,N/A
A Comprehensive Investigation of Blockchain Technology's Role in Cyber Security,"Rahul Raj Dixit;
Gokulapriya R",2023,Canada,IEEE Xplore,Q1,8,1.66,N/A
A Scalable Blockchain-based Smart Contract Model for Decentralized Voltage Stability Using Sharding Technique,"Kimia Honari;
Xiaotian Zhou;
Sara Rouhani;
Scott Dick;
Hao Liang;
Yunwei Li;
James Miller",2022,China,IEEE Xplore,Q2,31,3.9,N/A
Automated Gateways: A Smart Contract-Powered Solution for Interoperability Across Blockchains,"Koosha Esmaeilzadeh Khorasani;
Sara Rouhani;
Rui Pan;
Vahid Pourheidari",2024,Brazil,IEEE Xplore,Q4,29,1.86,N/A
Blockchain-Based Smart Contract for E-Bidding System,"Praveensankar Manimaran;
R. Dhanalakshmi",2019,France,IEEE Xplore,Q3,8,1.38,N/A
An Intrinsic Review on Securitization using Blockchain,"Varun Chandra Gupta;
Saheb Gabadia;
Menita Agarwal;
Krishna Samdani",2021,France,IEEE Xplore,Q2,23,1.97,N/A
Reliable Blockchain-Based KYC Model for Blacklist Records in Insurance,"Bulut Karadag;
Abdul Halim Zaim;
Akhan Akbulut",2024,UK,IEEE Xplore,Q2,20,5.18,N/A
Customer Data Sharing Platform: A Blockchain-Based Shopping Cart,"Ajay Kumar Shrestha;
Sandhya Joshi;
Julita Vassileva",2020,France,IEEE Xplore,Q1,131,9.39,N/A
Blockchain and Smart Contracts for Telecommunications: Requirements vs. Cost Analysis,"Nima Afraz;
Francesc Wilhelmi;
Hamed Ahmadi;
Marco Ruffini",2023,Germany,IEEE Xplore,Q1,97,6.09,N/A
Meepo: Multiple Execution Environments per Organization in Sharded Consortium Blockchain,"Peilin Zheng;
Quanqing Xu;
Zibin Zheng;
Zhiyuan Zhou;
Ying Yan;
Hui Zhang",2022,Brazil,IEEE Xplore,Q1,85,6.58,N/A
Blockchain as a Resilient Infrastructure for e-Business Transactions,"Mohammad Al Khaldy;
Garam Alshdifat;
Trad Almalahmeh;
Amjad Aldweesh",2024,USA,IEEE Xplore,Q3,14,1.0,N/A
Design and Implementation of Digital Transaction System Based on Blockchain Environment,"Han Deng;
Yan Cheng;
Hongwei Qiu;
Meiyan Pang;
Peiyuan Zhu;
Hui Zhao;
Yujie Hong",2020,China,IEEE Xplore,Q1,14,7.27,N/A
Intellectual-Property Blockchain-Based Protection Model for Microfilms,"Wei-Tek Tsai;
Libo Feng;
Hui Zhang;
Yue You;
Li Wang;
Yao Zhong",2017,India,IEEE Xplore,Q2,95,7.34,N/A
A Privacy-Preserving Voting Protocol on Blockchain,"Wenbin Zhang;
Yuan Yuan;
Yanyan Hu;
Shaohua Huang;
Shengjiao Cao;
Anuj Chopra;
Sheng Huang",2018,UK,IEEE Xplore,Q2,41,2.93,N/A
Reverse blockchain technology and its application to improve the quality of control systems in conditions of network instability,"Volodymyr Khilenko;
Andrii Zinchenko;
Oleksii Stepanov",2024,UK,IEEE Xplore,Q1,42,6.05,N/A
Towards Robust Consensus for Intelligent Decision-making in IoT Blockchain Networks,"Charles Rawlins;
S. Jagannathan",2023,India,IEEE Xplore,Q2,1,1.63,N/A
Blockchain-based IoT security authentication system,"Zhang Gong-Guo;
Zhou Wan",2021,Brazil,IEEE Xplore,Q2,14,7.3,N/A
Investigating Quality Requirements for Blockchain-Based Healthcare Systems,"Mohamad Kassab;
Joanna DeFranco;
Tarek Malas;
Giuseppe Destefanis;
Valdemar Vicente Graciano Neto",2019,France,IEEE Xplore,Q1,78,7.16,N/A
A method of image privacy protection based on blockchain technology,Xueying Dong,2018,USA,IEEE Xplore,Q1,129,7.21,N/A
ZipZap: A Blockchain Solution for Local Energy Trading,"Mario Felipe Munoz;
Kaiwen Zhang;
Fatima Amara",2022,USA,IEEE Xplore,Q3,4,2.4,N/A
Location-aware Verification for Autonomous Truck Platooning Based on Blockchain and Zero-knowledge Proof,"Wanxin Li;
Collin Meese;
Zijia Gary Zhong;
Hao Guo;
Mark Nejad",2021,Germany,IEEE Xplore,Q3,90,6.47,N/A
Enhancing Cross-Border Data Sharing in Blockchain Networks: A Compliance-Centric Approach Ensuring Anonymity and Traceability,"Sheng Peng;
Di Sun;
Linkai Zhu;
Hongtu Zhou;
Xueshuai Zhang;
Chenchang Cui",2023,Canada,IEEE Xplore,Q1,16,1.29,N/A
Blockchain application within Net-Zero Energy Factories. A cost-benefit analysis for a German carpentry,"Pio Lombardi;
Sandeep Yadav Mattepu;
Bartlomiej Arendarski;
Marc Richter;
Przemyslaw Komarmicki",2022,Germany,IEEE Xplore,Q3,35,8.9,N/A
Research on Autonomous and Controllable High-performance Consensus Mechanism of Blockchain,Yang Chengfu,2020,Brazil,IEEE Xplore,Q2,6,0.51,N/A
Blockchain Solutions for Local Energy Market,"Roberta Terruggia;
Giuseppe Mauri;
Carlo Tornelli;
Alessandro Zani",2022,Canada,IEEE Xplore,Q3,20,6.88,N/A
DataHarbour: Enabling Decentalized AI Data Marketplace using Blockchain,"Maheak Dave;
Awantika Saraf;
Rishabh Kumar;
Rituparna Bhattacharya",2024,Brazil,IEEE Xplore,Q2,46,7.67,N/A
PassChain: A Blockchain-Based Decentralized Password Manager,"Nur Adnan Chowdhury Anik;
Md. Sabbir Hossain;
Habibur Rahman;
Ummay Khadiza Rumpa;
Joy Datta;
Rifat Nawaz;
Sagar Karmoker;
Md. Adib Khan;
Mahamudul Hasan",2024,Brazil,IEEE Xplore,Q2,16,2.72,N/A
Blockchain-Enabled Smart Lock System Using IOTA for Enhanced Smart Home Access Control,"Batool Allan;
Yara Rahhal;
Salahaldin Abukhalaf;
Anastassia Gharib",2025,Brazil,IEEE Xplore,Q1,19,3.97,N/A
"Towards Adoption of Green Blockchain with Emphasis on Blockchain Type, Consensus Protocols, Data Sharding and Smart Contracts","Shraddha Phansalkar;
Deepa Mishra;
Neha Chaube;
Rahul Sonkamble",2023,Canada,IEEE Xplore,Q2,47,3.37,N/A
File Sharing System using Cryptographic Hash,"Raj Shah;
Gunj Waghela;
Yashvi Soni;
Priyanshi Jain;
Hezal Lopes",2025,UK,IEEE Xplore,Q3,18,1.81,N/A
Research on Blockchain Smart Contract Optimization for Power Business Scenarios,"Zhuofan Wu;
Wenhao Xue;
Xinnan Wang",2021,USA,IEEE Xplore,Q1,28,9.41,N/A
IEEE Draft Standard for Blockchain Interoperability - Data Authentication and Communication Protocol,Unknown,2022,India,IEEE Xplore,Q1,36,9.07,N/A
IEEE Standard for Entity-Based Risk Mutual Assistance Model through Blockchain Technology,Unknown,2022,UK,IEEE Xplore,Q1,30,2.33,N/A
Enhancing KYC Systems through Stroj Decentralized Storage Network in Blockchain Technology,"Kumaraguru V;
K.C. Nithyasree;
N. Palanivel;
V.T. Rithikka;
G. Keerthana;
P. Nidheshwar",2024,Brazil,IEEE Xplore,Q1,152,8.04,N/A
Cost Fairness for Blockchain-Based Two-Party Exchange Protocols,"Matthias Lohr;
Benjamin Schlosser;
Jan Jürjens;
Steffen Staab",2020,France,IEEE Xplore,Q1,177,8.88,N/A
TDL-Chain: An Intelligent Data Transmission Control System in Tactical Data Link Based on Blockchain,"Xuetao Yang;
Yafeng Li;
Liang Chen;
Wei Feng;
Zheng Yan",2020,China,IEEE Xplore,Q1,28,2.84,N/A
ColouredChain - Exploring Alternatives to a Network of Homogeneous Consortium Blockchains for Complex and Composite Decentralized Systems,"Rituparna Bhattacharya;
Prashnatita Pal;
Md. Abdul Aziz Al Aman;
Sompurna Bhadra",2025,USA,IEEE Xplore,Q3,8,0.74,N/A
A Full-Spectrum Blockchain-as-a-Service for Business Collaboration,"Yaoliang Chen;
Jingxiao Gu;
Shi Chen;
Sheng Huang;
X. Sean Wang",2019,India,IEEE Xplore,Q1,24,6.09,N/A
E-Governance: A Tendering Framework Using Blockchain With Active Participation of Citizens,"Yashita Goswami;
Ankit Agrawal;
Ashutosh Bhatia",2020,India,IEEE Xplore,Q1,26,3.33,N/A
"Blockchain Technologies in 5g and Beyond Connections: A Review of the Taxonomy, Practice Area, Prospects, and Challenges",Aseem Aneja,2023,China,IEEE Xplore,Q4,8,4.14,N/A
Usage of Blockchain MetaMask for Fundraising,"Sunitha Guruprasad;
Aaron Lobo;
Ajith M D",2023,Brazil,IEEE Xplore,Q3,2,1.25,N/A
Revolutionizing Collectibles Trading with Youtooz’s Blockchain-Based Platform,"Mawadah Almuhnna;
Nuha Bahatheq;
Dalal Aldossary;
Nidal Nasser",2023,India,IEEE Xplore,Q3,37,3.38,N/A
Traceability System for Rare Chinese Herbal Medicines Based on Blockchain Structure,"Huizhong Liu;
Jia Dong;
Suli Ge",2021,France,IEEE Xplore,Q1,67,6.16,N/A
Exploring Blockchain Frameworks and Their Comprehensive Analysis Based on Key Metrics,"Neha Sharma;
Naveen Kumar;
Rajesh Kumar Kaushal",2024,UK,IEEE Xplore,Q1,5,0.54,N/A
A Blockchain Based Credential Verification System using IPFS,"Swatesh Kumar Ambast;
T A Sumesh",2022,China,IEEE Xplore,Q2,82,5.87,N/A
A Decentralized Secure Mailbox System based on Blockchain,Xianglong Bao,2020,Germany,IEEE Xplore,Q1,25,6.31,N/A
Enhancing Security Feature in Financial Transactions using Multichain Based Blockchain Technology,"Arman Raj;
Avneesh Kumar;
Vandana Sharma;
Seema Rani;
Ankit Kumar Shanu",2023,UK,IEEE Xplore,Q1,51,7.42,N/A
Security Assessment of Blockchains in Heterogenous IoT Networks : Invited Presentation,"Jay Jemal;
Kevin T. Kornegay",2019,China,IEEE Xplore,Q3,27,1.69,N/A
Current Cybersecurity Challenges of Applying Blockchain in Healthcare,"Nahla F AL Hamad;
Jing-Chiou Liou",2022,France,IEEE Xplore,Q1,99,4.98,N/A
Property Fraud Detection And Prevention Using Blockchain,"Varid Verma;
Swati Priya;
Somya Mishra;
Rojalina Priyadarshini;
Rachita Misra",2019,Canada,IEEE Xplore,Q2,17,2.15,N/A
A Systematic Examination of Decentralized Ledger Applications using Ethereum and Hyperledger Fabric Models in a Blockchain Network,"Phani Prasad Pothavarjula;
B Sirisha;
T. Srikanth;
B. Ranjith Kumar",2023,Germany,IEEE Xplore,Q2,19,9.58,N/A
Securing Transactions Using Permissioned Blockchain Technology: The Case of the Egyptian Real Estate Sector,"Sara Salah Abo Halawa;
Ghada El Khayat;
Yasser Abd El Ghaffar",2025,Canada,IEEE Xplore,Q2,11,5.85,N/A
Blockchain-Based Coal Mining Concession Production Monitoring System,"Mutiara Marpaung;
Pujianto Yugopuspito",2024,China,IEEE Xplore,Q1,9,4.53,N/A
BCDM - A decision and operation model for blockchains,"Diana Dabboussi;
Frank Victor;
Wolfgang Prinz",2021,Canada,IEEE Xplore,Q3,79,5.32,N/A
Developing more Reliable News Sources by utilizing the Blockchain technology to combat Fake News,"Panayiotis Christodoulou;
Klitos Christodoulou",2020,Canada,IEEE Xplore,Q2,65,8.22,N/A
A Novel Blockchain-Based Federal Learning Framework with Multiple Appendable Sidechains,"Haidong Gaolst;
Ning Lin;
Guolin Tan;
Faming Hu;
Shuxia Liu;
Zhuo Zhan;
Huan Yi;
Hui Yang;
Mingyi Zhang;
Yanyi Rao",2024,India,IEEE Xplore,Q1,38,9.73,N/A
Blockchain-based Framework for Construction Regulations Monitoring,"Mariam Al Suwaidi;
Mohamad Humaid Almarri;
Osama Abu Rahmeh;
Khaled Almiani",2024,India,IEEE Xplore,Q2,83,4.91,N/A
BeerReview: A Blockchain-enabled Peer Review Platform,"Guodong Jin;
Zihan Zhou;
Wenzheng Tang;
Kanglei Yu;
Hao Xu;
Erwu Liu",2025,UK,IEEE Xplore,Q2,1,0.95,N/A
Carboncoin: Blockchain Tokenization of Carbon Emissions with ESG-based Reputation,"Oscar Golding;
Guangsheng Yu;
Qinghua Lu;
Xiwei Xu",2022,Brazil,IEEE Xplore,Q2,34,6.89,N/A
Research on the Application of Blockchain in the Safe and Trusted Sharing of Government Data,"Heng Zhang;
Wenguo Liu",2023,USA,IEEE Xplore,Q3,10,1.07,N/A
Comparative Research On Blockchain Consensus Algorithms,"Yuran Xiong;
Chunan Hu",2022,USA,IEEE Xplore,Q2,49,2.89,N/A
Design And Implementation of Public Distribution System Using Blockchain,"Valarmathi V;
Sakthi Mahendran R;
Sabari Srinivas H",2024,Germany,IEEE Xplore,Q2,14,1.57,N/A
Decentralized Applications for Agricultural Supply Chain: Exploring the Potential on the Ethereum Blockchain using Smart Contracts,"Madhuri Jalagam;
R. Naga Thanuja;
Y. Leela Vaishnavi;
K. Naresh;
V.G. Suryakanth",2024,Germany,IEEE Xplore,Q2,23,2.58,N/A
The Utilization of Blockchain Technology for Mitigating The Prevalence of Counterfeit Electronic Drug Prescriptions,"Surjandy;
Cadelina Cassandra;
Stefanus Rumangkit",2023,Germany,IEEE Xplore,Q2,37,7.59,N/A
Dynamic Investment Strategy of Blockchain Technology for Shipping Company,"Zhongmiao Sun;
Yike Xi",2024,UK,IEEE Xplore,Q4,3,0.81,N/A
Decentralized Microservices-based Framework for Disaster Resource Allocation using Blockchain,"Abeer Abdel Khaleq;
Sagar Gupta",2025,India,IEEE Xplore,Q1,52,8.81,N/A
Research on digital copyright blockchain technology,"Jun Guo;
Hongbo Zhou;
Lan Yang;
Xuhui Chen",2020,Brazil,IEEE Xplore,Q1,94,7.24,N/A
Research on Trust Measurement of Terminal Equipment Based on Device Fingerprint,"Jiaqi Peng;
Ke Yang;
Jiaxing Xuan;
Da Li;
Lei Fan",2022,UK,IEEE Xplore,Q2,11,3.91,N/A
A blockchain based framework for information system integrity,Mahalingam Ramkumar,2019,UK,IEEE Xplore,Q1,18,6.3,N/A
